"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type.x"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Load_Human_virus"	"Daily_Human_virus"
"MF 025"	"Milw Corridor Study USGS"	"33958 - 33957"	"Meno Falls"	FALSE	"MF 025"	"7/13/2010 8:29"	"7/14/2010 5:57"	"13-Jul-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	2010-07-13 08:29:00	6	2010-07-13	0	0.21	0	0	0.21	0.21	"Jul"	0	0	0	0	0	"7/13/2010 8:29"	"7/14/2010 5:57"	NA	NA	NA	NA	NA	2010-07-13 08:29:00	2010-07-14 05:57:00	679742.0062315	10.21023	21.4666666666667	2010-07-13 08:00:00	2010-07-14 05:00:00	0	0	0
"MF 026"	"Milw Corridor Study USGS"	"34570 - 34569"	"Meno Falls"	FALSE	"MF 026"	"7/15/2010 7:07"	"7/16/2010 7:19"	"15-Jul-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-07-15 07:07:00	6	2010-07-15	0	0	0	0	0	0	"Jul"	0	0	0	0	0	"7/14/2010 21:30"	"7/20/2010 3:00"	1350.6067	698.7151	"MF 026"	FALSE	"Rainfall"	2010-07-14 21:30:00	2010-07-20 03:00:00	116692921.015725	698.7151	125.5	2010-07-14 20:00:00	2010-07-19 19:00:00	69.470806258	0	0
"MF 027"	"Milw Corridor Study USGS"	"33960 - 33959"	"Meno Falls"	TRUE	"MF 027"	"7/22/2010 16:27"	"7/23/2010 12:05"	"22-Jul-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0.1	0.08	0.11	0	0	0	0	0	0	0	0	0	0	0	2010-07-22 16:27:00	6	2010-07-22	0	0.29	0	0	0.29	0.29	"Jul"	0	0	0	0	0	"7/22/2010 10:00"	"7/23/2010 12:35"	2316.6584	1453.891	"MF 027"	TRUE	"Rainfall"	2010-07-22 10:00:00	2010-07-23 12:35:00	200159534.13075	1453.891	26.5833333333333	2010-07-22 08:00:00	2010-07-23 10:00:00	59.41315821	0	0
"MF 031"	"Milw Corridor Study USGS"	"34063 - 34062"	"Meno Falls"	FALSE	"MF 031"	"9/1/2010 2:01"	"9/1/2010 14:08"	"1-Sep-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-09-01 02:01:00	8	2010-09-01	0	0	0	0	0	0	"Sep"	0	0	0	0	0	"9/1/2010 1:45"	"9/1/2010 14:15"	18.1953	118.6552	"MF 031"	FALSE	"Rainfall"	2010-09-01 01:45:00	2010-09-01 14:15:00	1572200.320725	118.6552	12.5	2010-08-31 23:00:00	2010-09-01 09:00:00	12.525591188	0	0
"MF 032"	"Milw Corridor Study USGS"	"34127 - 34126"	"Meno Falls"	FALSE	"MF 032"	"9/13/2010 8:49"	"9/14/2010 7:52"	"13-Sep-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-09-13 08:49:00	8	2010-09-13	0	0	0	0	0	0	"Sep"	0	0	0	0	0	"9/13/2010 8:49"	"9/14/2010 7:52"	NA	NA	NA	NA	NA	2010-09-13 08:49:00	2010-09-14 07:52:00	691948.888788	10.5937	23.05	2010-09-13 08:00:00	2010-09-14 07:00:00	0	0	0
"MF 033"	"Milw Corridor Study USGS"	"34077 - 34076"	"Meno Falls"	FALSE	"MF 033"	"10/23/2010 16:59"	"10/24/2010 17:11"	"23-Oct-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-10-23 16:59:00	9	2010-10-23	0	0	0	0	0	0	"Oct"	0	0	0	0	0	"10/23/2010 16:59"	"10/25/2010 12:05"	49.1503	68.18	"MF 033"	FALSE	"Rainfall"	2010-10-23 16:59:00	2010-10-25 12:05:00	4252607.92276	68.18	43.1	2010-10-23 07:00:00	2010-10-24 12:00:00	29.455053358	0	0
"MF 034"	"Milw Corridor Study USGS"	"34085 - 34084"	"Meno Falls"	FALSE	"MF 034"	"10/26/2010 8:37"	"10/26/2010 22:50"	"26-Oct-10"	"Event"	"Rainfall "	0	0	0	48.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-10-26 08:37:00	9	2010-10-26	48.97	0	0	0	48.97	48.97	"Oct"	0	0	0	0	1	"10/26/2010 5:00"	"10/27/2010 2:30"	27.6365	56.4851	"MF 034"	FALSE	"Rainfall"	2010-10-26 05:00:00	2010-10-27 02:30:00	2387799.0135	56.4851	21.5	2010-10-26 01:00:00	2010-10-26 15:00:00	11.066385617	3311103531.38188	3696115569.91466
"MF 035"	"Milw Corridor Study USGS"	"34093 - 34092"	"Meno Falls"	FALSE	"MF 035"	"11/10/2010 9:14"	"11/11/2010 8:01"	"10-Nov-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-11-10 09:14:00	10	2010-11-10	0	0	0	0	0	0	"Nov"	0	0	0	0	0	"11/10/2010 9:14"	"11/11/2010 8:01"	NA	NA	NA	NA	NA	2010-11-10 09:14:00	2010-11-11 08:01:00	594832.949103	7.836458	22.7833333333333	2010-11-10 09:00:00	2010-11-11 08:00:00	0	0	0
"MF 036"	"Milw Corridor Study USGS"	"34111 - 34110"	"Meno Falls"	FALSE	"MF 036"	"11/22/2010 7:38"	"11/23/2010 7:49"	"22-Nov-10"	"Event"	"Rainfall "	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-11-22 07:38:00	10	2010-11-22	0.09	0	0	0	0.09	0.09	"Nov"	0	0	0	0	1	"11/22/2010 7:38"	"11/23/2010 11:45"	12.9746	22.1066	"MF 036"	FALSE	"Rainfall"	2010-11-22 07:38:00	2010-11-23 11:45:00	1124259.6557475	22.10664	28.1166666666667	2010-11-22 03:00:00	2010-11-22 18:00:00	8.41915172	2865193.9381239	2445690.14279693
"MF 037"	"Milw Corridor Study USGS"	"34556 - 34555"	"Meno Falls"	FALSE	"MF 037"	"1/5/2011 10:48"	"1/6/2011 8:23"	"5-Jan-11"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-01-05 10:48:00	0	2011-01-05	0	0	0	0	0	0	"Jan"	0	0	0	0	0	"1/5/2011 10:48"	"1/6/2011 8:23"	NA	NA	NA	NA	NA	2011-01-05 10:48:00	2011-01-06 08:23:00	1896584.955085	31.99573	21.5833333333333	2011-01-05 16:00:00	2011-01-05 18:00:00	1.3080597	0	0
