"Study.Sample.ID"	"USDA.LIDE"	"GLWI.FT"	"Site.Name"	"Abbrev"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"GMTbpdate"	"GMTepdate"	"Collection.Start.Date"	"GLWI.Sample.Arrival"	"cmonth"	"Sample.Type.x"	"Event.Type"	"Event.Type.2"	"GLWI.Event"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Enterovirus"	"Human_virus"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacSp.CN.100ml"	"Entero.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"pdate"	"ddate"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Adenovirus.C.D.F_load"	"Adenovirus.A_load"	"Enterovirus_load"	"Human_virus_load"	"Enterococci.CFU.100ml_load"	"E..coli.CFU.100ml_load"	"BacSp.CN.100ml_load"	"Entero.CN.100ml_load"	"lachnocen_load"	"BacHumancen_load"
"LD 027"	"33926 - 33925"	9454	"Donges Bay"	"LD"	FALSE	"LD 027"	"7/13/2010 8:12"	"7/14/2010 7:51"	"7/13/2010 14:12"	"7/14/2010 13:51"	"13-Jul-10"	"16-Jul-10"	"Jul"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	127.09	127.09	860	840	3632	6810	NA	83	NA	263	"7/13/2010 8:12"	"7/14/2010 7:51"	NA	NA	NA	NA	NA	2010-07-13 14:12:00	2010-07-13	2010-07-13 13:12:00	2010-07-14 12:51:00	115922.608812	1.577602	23.65	2010-07-13 13:00:00	2010-07-14 12:00:00	0	0	0	417.180897390501	417.180897390501	2823.00394803549	2757.35269343002	11922.2678363546	22354.2521931648	272.452706612728	863.313998062018
"LD 028"	"34564 - 34563"	9495	"Donges Bay"	"LD"	FALSE	"LD 028"	"7/15/2010 7:13"	"7/16/2010 7:19"	"7/15/2010 13:13"	"7/16/2010 13:19"	"15-Jul-10"	"16-Jul-10"	"Jul"	"Event"	"Rainfall "	"CSO"	"CSO"	0	0	0	0	27000	9800	34518	209533	NA	13461	NA	3238	"7/14/2010 21:15"	"7/16/2010 18:00"	184.0244	208.6554	"LD 028"	FALSE	"Rainfall"	2010-07-15 13:13:00	2010-07-15	2010-07-15 02:15:00	2010-07-16 23:00:00	15899720.78385	208.6554	44.75	2010-07-15 01:00:00	2010-07-15 14:00:00	63.9471778	0	0	0	0	12156208.7658817	4412253.55206076	15541037.5622483	94338033.0126477	6060545.41472346	1457844.59199722
"LD 029"	"33928 - 33927"	9575	"Donges Bay"	"LD"	TRUE	"LD 029"	"7/22/2010 16:38"	"7/23/2010 4:33"	"7/22/2010 22:38"	"7/23/2010 10:33"	"22-Jul-10"	"23-Jul-10"	"Jul"	"Event"	"Rainfall "	"CSO"	"CSO"	0	0	0	0	34144.471063176	12634.9757618512	NA	193532.738778551	NA	15219.4876316011	NA	1254.85878762969	"7/22/2010 12:35"	"7/23/2010 8:12"	344.7421	219.0024	"LD 029"	TRUE	"Rainfall"	2010-07-22 22:38:00	2010-07-22	2010-07-22 17:35:00	2010-07-23 13:12:00	29785705.8963	219.0024	19.6166666666667	2010-07-22 13:00:00	2010-07-23 12:00:00	51.257971838	0	0	0	0	28798719.2713231	10656809.3935991	NA	163232723.786565	12836683.0150886	1058394.66317212
"LD 033"	"34061 - 34060"	9762	"Donges Bay"	"LD"	FALSE	"LD 033"	"9/1/2010 2:36"	"9/1/2010 13:58"	"9/1/2010 8:36"	"9/1/2010 19:58"	"1-Sep-10"	"2-Sep-10"	"Sep"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	2782.13	0	2782.13	143	144	82740	141173	NA	285	NA	1140	"9/1/2010 2:15"	"9/1/2010 17:00"	2.2048	6.0809	"LD 033"	FALSE	"Rainfall"	2010-09-01 08:36:00	2010-09-01	2010-09-01 07:15:00	2010-09-01 22:00:00	190514.235735	6.080944	14.75	2010-09-01 04:00:00	2010-09-01 21:00:00	13.77932843	0	15008.9302794664	0	15008.9302794664	771.451021326717	776.845783713617	446362.639892116	761594.79044585	1537.50728026653	6150.02912106614
"LD 034"	"34125 - 34124"	10042	"Donges Bay"	"LD"	FALSE	"LD 034"	"9/13/2010 8:48"	"9/14/2010 7:59"	"9/13/2010 14:48"	"9/14/2010 13:59"	"13-Sep-10"	"14-Sep-10"	"Sep"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	3.66	1.78	0	5.44	520	580	1056913	12945	NA	293	NA	473	"9/13/2010 8:48"	"9/14/2010 7:59"	NA	NA	NA	NA	NA	2010-09-13 14:48:00	2010-09-13	2010-09-13 13:48:00	2010-09-14 12:59:00	147322.51239	2.062033	23.1833333333333	2010-09-13 13:00:00	2010-09-14 12:00:00	0	15.2684548773981	7.42564198955426	0	22.6940968669523	2169.28867110574	2419.59121007948	4409133.45623919	54002.7727835842	1222.31073198843	1973.21834890964
"LD 035"	"34075 - 34074"	10148	"Donges Bay"	"LD"	FALSE	"LD 035"	"10/23/2010 23:37"	"10/24/2010 18:40"	"10/24/2010 5:37"	"10/25/2010 0:40"	"23-Oct-10"	"25-Oct-10"	"Oct"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	4700	5600	7166473	742417	NA	6506	NA	11817	"10/23/2010 23:15"	"10/25/2010 2:15"	4.4233	6.0809	"LD 035"	FALSE	"Rainfall"	2010-10-24 05:37:00	2010-10-24	2010-10-24 04:15:00	2010-10-25 07:15:00	382173.2883	6.080944	27	2010-10-23 12:00:00	2010-10-24 17:00:00	27.201467336	0	0	0	0	50863.1291688511	60602.8773075672	77555157.8476774	8034393.99322359	70407.5571005415	127882.893061343
"LD 036"	"34083 - 34082"	10216	"Donges Bay"	"LD"	FALSE	"LD 036"	"10/26/2010 7:19"	"10/26/2010 21:39"	"10/26/2010 13:19"	"10/27/2010 3:39"	"26-Oct-10"	"26-Oct-10"	"Oct"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	1000	900	88230	12656	NA	195	"BLD1:1"	60	"10/26/2010 6:30"	"10/26/2010 21:45"	2.9589	5.7332	"LD 036"	FALSE	"Rainfall"	2010-10-26 13:19:00	2010-10-26	2010-10-26 11:30:00	2010-10-27 02:45:00	255650.18895	5.733202	15.25	2010-10-26 06:00:00	2010-10-26 17:00:00	9.103092536	0	0	0	0	7239.20718171296	6515.28646354167	638715.249642535	91619.4060917593	1411.64540043403	434.352430902778
"LD 037"	"34091 - 34090"	10328	"Donges Bay"	"LD"	FALSE	"LD 037"	"11/10/2010 8:58"	"11/11/2010 7:37"	"11/10/2010 14:58"	"11/11/2010 13:37"	"10-Nov-10"	"11-Nov-10"	"Nov"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	120	120	153976	2479	"BLD1:1"	60	"BLD1:1"	60	"11/10/2010 8:58"	"11/11/2010 7:37"	NA	NA	NA	NA	NA	2010-11-10 14:58:00	2010-11-10	2010-11-10 14:58:00	2010-11-11 13:37:00	116837.34966	1.474234	22.65	2010-11-10 14:00:00	2010-11-11 13:00:00	0	0	0	0	0	397.01583678457	397.01583678457	509424.254039508	8201.68549490791	198.507918392285	198.507918392285
"LD 038"	"34335 - 34334"	10373	"Donges Bay"	"LD"	FALSE	"LD 038"	"1/5/2011 9:38"	"1/6/2011 8:32"	"1/5/2011 15:38"	"1/6/2011 14:32"	"5-Jan-11"	"6-Jan-11"	"Jan"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	70	160	194564	5507	NA	866	NA	1470	"1/5/2011 9:38"	"1/6/2011 8:32"	NA	NA	NA	NA	NA	2011-01-05 15:38:00	2011-01-05	2011-01-05 15:38:00	2011-01-06 14:32:00	168486.45222	2.062033	22.9	2011-01-05 21:00:00	2011-01-05 23:00:00	1.487817	0	0	0	0	333.970351424085	763.360803255052	928265.820778225	26273.9246470348	4131.69034761797	7013.3773799058
"LD 039"	"34603 - 34602"	10470	"Donges Bay"	"LD"	FALSE	"LD 039"	"2/16/2011 16:19"	"2/19/2011 21:08"	"2/16/2011 22:19"	"2/20/2011 3:08"	"16-Feb-11"	"21-Feb-11"	"Feb"	"Event"	"Mix"	"Mix"	"Baseflow"	0	0	0	0	91	320	4781870	232186	NA	4493	NA	525	"2/16/2011 12:00"	"2/20/2011 11:30"	83.0952	48.7263	"LD 039"	FALSE	"Mix"	2011-02-16 22:19:00	2011-02-16	2011-02-16 18:00:00	2011-02-20 17:30:00	7183574.669625	48.72626	95.5	2011-02-20 15:00:00	2011-02-20 17:00:00	2.63593528	0	0	0	0	18510.8725530773	65093.1782086234	972709737.751469	47230389.6110858	913948.905285453	106793.495498523
