Study Name	LIDE Sample ID	Site Name	Study Sample ID	Sample Combining needed?	USGS_ID	Collection Start Date	Sample Type	Event Type	"Adenovirus C,D,F"	Adenovirus A	Adenovirus B	Enterovirus	G1 Norovirus	G2 Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus a	Rotavirus c	Bovine Enterovirus	Coronavirus	Bovine Adenovirus	Bovine Polyomavirus	Mycobacterium Avium	Mycobacterium Avium paratuber
Milw Corridor Study USGS	34335 - 34334	Donges Bay	LD 038			5-Jan-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34603 - 34602	Donges Bay	LD 039			16-Feb-11	Event	Mix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34593 - 34592	Donges Bay	LD 040			28-Feb-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34613 - 34612	Donges Bay	LD 041			9-Mar-11	Event	Snowmelt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34625 - 34624	Donges Bay	LD 042			14-Mar-11	Event	Snowmelt	0	0	0	10.33	0	0	0	0	0	36.52	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34635 - 34634	Donges Bay	LD 043			17-Mar-11	Event	Snowmelt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34651 - 34650	Donges Bay	LD 044			22-Mar-11	Event	Rainfall 	5.91	0	0	0	0	0	0	0	3.26	0	0	0	0	0	7197.34	0	0	0	0	0	0	0
Milw Corridor Study USGS	34661 - 34660	Donges Bay	LD 045			29-Mar-11	Baseflow	Baseflow	3.82	0	0	0	0	0	0	0	0	20.42	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33299 - 33300	16th St.	MC 001			6-Apr-09	Baseflow	Baseflow	0.44	18.95	0	5.06	0	0	0	0														
Milw Corridor Study USGS	33310 - 33311	16th St.	MC 002			19-Apr-09	Event	Rainfall 	7.89	26.91	0	0	0	0	0	0														
Milw Corridor Study USGS	33327 - 33328	16th St.	MC 003			26-Apr-09	Event	Rainfall 	0	23.48	0	0	0	0	0	0														
Milw Corridor Study USGS	33346 - 33347	16th St.	MC 004			13-May-09	Event	Rainfall 	6.99	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33350 - 33351	16th St.	MC 005			14-May-09	Event	Rainfall 	3.52	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33390 - 33391	16th St.	MC 006			8-Jun-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33401 - 33402	16th St.	MC 007			15-Jun-09	Baseflow	Baseflow	0	0	0	2.26	0	0	0	0														
Milw Corridor Study USGS	33437 - 33438	16th St.	MC 009			11-Aug-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33464 - 33465	16th St.	MC 011			14-Sep-09	Baseflow	Baseflow	0.35	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33476 - 33477	16th St.	MC 012			22-Sep-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33486 - 33487	16th St.	MC 013			27-Sep-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33496 - 33497	16th St.	MC 014			1-Oct-09	Event	Rainfall 	1.86	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33534 - 33535	16th St.	MC 015			22-Oct-09	Event	Rainfall 	5.49	14.85	0	0	0	0	0	0														
Milw Corridor Study USGS	33538 - 33539	16th St.	MC 016			23-Oct-09	Event	Rainfall 	2.03	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33558 - 33559	16th St.	MC 017			17-Nov-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33581 - 33582	16th St.	MC 018			24-Dec-09	Event	Mix	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33598 - 33599	16th St.	MC 019			20-Jan-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33608 - 33609	16th St.	MC 020			24-Jan-10	Event	Mix	21.82	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33616 - 33617	16th St.	MC 021			1-Mar-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33670 - 33671	16th St.	MC 022			9-Mar-10	Event	Mix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33684 - 33685	16th St.	MC 024			5-Apr-10	Event	Rainfall 	0	2.35	0	0	0	0	0	0	8.59	3.27	0	0	0	0	0	0	0	0	0	1.95	0	0
Milw Corridor Study USGS	33704 - 33705	16th St.	MC 025			25-Apr-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33706 - 33707	16th St.	MC 026			7-May-10	Event	Rainfall 	6.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33718 - 33719	16th St.	MC 027			11-May-10	Event	Rainfall 	0	0	0	68.67	0	0	0	0	7.94	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33935 - 33934	16th St.	MC 028			13-May-10	Event	Rainfall 	0	0	0	22.33	0	0	0	0	2.42	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33937 - 33936	16th St.	MC 029			18-May-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33939 - 33938	16th St.	MC 034			2-Jun-10	Event	Rainfall 	0	3.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33942 - 33941	16th St.	MC 036			14-Jul-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	1.86	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33944 - 33943	16th St.	MC 038			22-Jul-10	Event	Rainfall 	1.84	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33946 - 33945	16th St.	MC 039			23-Jul-10	Event	Rainfall 	0	2.03	0	0	0	0	0	0	21.54	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33948 - 33947	16th St.	MC 040			4-Aug-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34067 - 34066	16th St.	MC 042			1-Sep-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34119 - 34118	16th St.	MC 043			13-Sep-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34069 - 34068	16th St.	MC 044			13-Oct-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34081 - 34080	16th St.	MC 045			23-Oct-10	Event	Rainfall 	60.59	0	0	0	0	0	0	0	20.38	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34089 - 34088	16th St.	MC 046			26-Oct-10	Event	Rainfall 	1.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34117 - 34116	16th St.	MC 047			22-Nov-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34323 - 34322	16th St.	MC 048			11-Dec-10	Event	Mix	0.11	0	0	0	0	0	0	0	4.49	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS		16th St.	MC 049			19-Dec-10	Baseflow	Baseflow																						
Milw Corridor Study USGS	34562 - 34561	16th St.	MC 050			5-Jan-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34611 - 34610	16th St.	MC 051			16-Feb-11	Event	Mix	0	0	0	0	0	0	0	0	0	7.75	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34609 - 34608	16th St.	MC 052			20-Feb-11	Event	Snowmelt	0	23.49	0	0	0	0	0	0	0	35.22	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34597 - 34596	16th St.	MC 053			28-Feb-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	2.39	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34621 - 34620	16th St.	MC 054			9-Mar-11	Event	Mix	0	0	0	0	0	0	0	0	0	34.18	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34633 - 34632	16th St.	MC 055			14-Mar-11	Event	Snowmelt	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34647 - 34646	16th St.	MC 056			17-Mar-11	Event	Snowmelt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.34	0	0	0	0	0	0	0
Milw Corridor Study USGS	34649 - 34648	16th St.	MC 057			20-Mar-11	Event	Rainfall 	0	0	0	0	0	0	0	0	0	2.54	0	0	0	0	0.43	0	0	0	0	0	0	0
Milw Corridor Study USGS	34659 - 34658	16th St.	MC 058			22-Mar-11	Event	Rainfall 	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34677 - 34676	16th St.	MC 059			29-Mar-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33293 - 33294	Meno Falls	MF 001			6-Apr-09	Baseflow	Baseflow	15.86	21.84	0	39.61	0	0	0	0														
Milw Corridor Study USGS	33306 - 33307	Meno Falls	MF 002			20-Apr-09	Event	Rainfall 	0.38	3.47	0	0.76	0	0	0	0														
Milw Corridor Study USGS	33393 - 33394	Meno Falls	MF 003			15-Jun-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33417 - 33418	Meno Falls	MF 005			22-Jul-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33439 - 33440	Meno Falls	MF 006			11-Aug-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33466 - 33467	Meno Falls	MF 008			15-Sep-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33468 - 33469	Meno Falls	MF 009			22-Sep-09	Event	Rainfall 	0.11	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33478 - 33479	Meno Falls	MF 010			27-Sep-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33488 - 33489	Meno Falls	MF 011			1-Oct-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33528 - 33529	Meno Falls	MF 012			22-Oct-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33550 - 33551	Meno Falls	MF 013			17-Nov-09	Baseflow	Baseflow	14.35	30.14	0	0	0	0	0	0														
Milw Corridor Study USGS	33573 - 33574	Meno Falls	MF 014			24-Dec-09	Event	Mix	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33592 - 33593	Meno Falls	MF 015			20-Jan-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33600 - 33601	Meno Falls	MF 016			24-Jan-10	Event	Mix	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33622 - 33623	Meno Falls	MF 017			1-Mar-10	Baseflow	Baseflow	0	331.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33660 - 33661	Meno Falls	MF 018			9-Mar-10	Event	Mix	0	37.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33690 - 33691	Meno Falls	MF 020			6-Apr-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33698 - 33699	Meno Falls	MF 021			24-Apr-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33953 - 33952	Meno Falls	MF 022			18-May-10	Baseflow	Baseflow	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33955 - 33954	Meno Falls	MF 023			15-Jun-10	Event	Rainfall 	0	2.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33958 - 33957	Meno Falls	MF 025			13-Jul-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34570 - 34569	Meno Falls	MF 026			15-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33960 - 33959	Meno Falls	MF 027			22-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0.1	0.08	0.11	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33962 - 33961	Meno Falls	MF 028			23-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34063 - 34062	Meno Falls	MF 031			1-Sep-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34127 - 34126	Meno Falls	MF 032			13-Sep-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34077 - 34076	Meno Falls	MF 033			23-Oct-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
