SampleID	SSdate	SEdate	MultipleSample	SampleType	UWM	Fvolume	Comments	ESdate	EEdate	ISdate	IEdate	Start time difference	End time difference	Comments
LD045	03-29-2011 08:25	03-30-2011 08:17	no	Baseflow	NA	361	Baseflow							
LD046	03-29-2011 08:35	03-30-2011 08:30	no	Replicate	NA	356	Baseflow duplicate							
MC001	04-06-2009 11:58	04-07-2009 11:40	no	Baseflow	yes	352.6	Baseflow							
MC002	04-19-2009 18:57	04-22-2009 07:42	no	Rainfall	yes	222	Rainfall event	04-19-2009 18:00	04-22-2009 12:00	04-19-2009 18:00	04-22-2009 12:00	0:57	4:18	
MC003	04-26-2009 18:12	04-29-2009 06:16	no	Rainfall	yes	252	CSO began 2:45 CDT 4/26/09	04-26-2009 14:00	04-29-2009 12:00	04-26-2009 14:00	04-29-2009 12:00	4:12	5:44	
MC004	05-13-2009 20:39	05-14-2009 20:06	yes	Rainfall	no	277	Rainfall event	05-13-2009 14:00	05-15-2009 15:00	05-13-2009 14:00	05-14-2009 20:06	6:39	0:00	
MC005	05-14-2009 20:06	05-15-2009 06:35	yes	Rainfall	yes	71	Rainfall event			05-14-2009 20:06	05-15-2009 15:00	0:00	8:25	
MC006	06-08-2009 06:35	06-09-2009 15:22	no	Rainfall	yes	292	Rainfall event	06-08-2009 00:30	06-09-2009 15:30	06-08-2009 00:30	06-09-2009 15:30	6:05	0:08	
MC007	06-15-2009 21:48	06-16-2009 13:51	no	Baseflow	yes	212	Baseflow							
MC008S	07-07-2009 14:35	NA	no	Sediment	no	NA	Bed Sediment Sample;  fine sand & silt w/ some organics							
MC009	08-11-2009 22:47	08-12-2009 02:48	no	Baseflow	yes	45.3	Baseflow							
MC010S	09-02-2009 17:00	NA	no	Sediment	no	NA	Sediment							
MC011	09-14-2009 10:58	09-15-2009 01:25	no	Baseflow	yes	141	Baseflow							
MC012	09-22-2009 12:53	09-23-2009 07:51	no	Rainfall	yes	494	Rainfall event	09-22-2009 11:30	09-23-2009 09:30	09-22-2009 11:30	09-23-2009 09:30	1:23	1:39	
MC013	09-27-2009 20:40	09-28-2009 09:44	no	Rainfall	no	136	Rainfall event	09-27-2009 19:30	09-28-2009 15:00	09-27-2009 19:30	09-28-2009 15:00	1:10	5:16	
MC014	10-01-2009 20:26	10-02-2009 09:44	no	Rainfall	no	111	Rainfall event	10-01-2009 17:30	10-02-2009 20:00	10-01-2009 17:30	10-02-2009 20:00	2:56	10:16	
MC015	10-22-2009 08:02	10-23-2009 12:00	yes	Rainfall	yes	166	Rainfall event	10-22-2009 08:00	10-24-2009 14:30	10-22-2009 08:00	10-23-2009 12:09	0:02	0:09	
MC016	10-23-2009 12:18	10-24-2009 11:22	yes	Rainfall	yes	85.6	Rainfall event			10-23-2009 12:09	10-24-2009 14:30	0:09	3:08	
MC017	11-17-2009 17:55	11-18-2009 15:26	no	Baseflow	yes	222	Low flow with a little rain at the end of sampling							
