"Study.Sample.ID"	"USDA.LIDE"	"GLWI.FT"	"Site.Name"	"Abbrev"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"GMTbpdate"	"GMTepdate"	"Collection.Start.Date"	"GLWI.Sample.Arrival"	"cmonth"	"Sample.Type.x"	"Event.Type"	"Event.Type.2"	"GLWI.Event"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Enterovirus"	"Human_virus"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacSp.CN.100ml"	"Entero.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"pdate"	"ddate"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Adenovirus.C.D.F_load"	"Adenovirus.A_load"	"Enterovirus_load"	"Human_virus_load"	"Enterococci.CFU.100ml_load"	"E..coli.CFU.100ml_load"	"BacSp.CN.100ml_load"	"Entero.CN.100ml_load"	"lachnocen_load"	"BacHumancen_load"
"MW 025"	"33714 - 33715"	8948	"70th St."	"MW"	FALSE	"MW 025"	"5/11/2010 4:39"	"5/12/2010 7:52"	"5/11/2010 10:39"	"5/12/2010 13:52"	"11-May-10"	"14-May-10"	"May"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	640	580	NA	40386	NA	17744	NA	12858	"5/11/2010 3:15"	"5/12/2010 12:00"	589.472	852.7139	"MW 025"	FALSE	"Rainfall"	2010-05-11 10:39:00	2010-05-11	2010-05-11 08:15:00	2010-05-12 17:00:00	50930221.107	852.7139	32.75	2010-05-11 02:00:00	2010-05-12 07:00:00	42.1812018432	0	0	0	0	922997.285109478	836466.289630465	NA	58244013.056924	25590099.7296603	18543592.3311526
"MW 026"	"33967 - 33966"	8952	"70th St."	"MW"	FALSE	"MW 026"	"5/12/2010 23:23"	"5/14/2010 6:34"	"5/13/2010 5:23"	"5/14/2010 12:34"	"12-May-10"	"14-May-10"	"May"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0.05	0.05	0	0.1	2400	1400	NA	43775	NA	5635	NA	9514	"5/12/2010 22:45"	"5/14/2010 14:00"	1446.192	1832.849	"MW 026"	FALSE	"Rainfall"	2010-05-13 05:23:00	2010-05-13	2010-05-13 03:45:00	2010-05-14 19:00:00	124951317.795	1832.849	39.25	2010-05-13 02:00:00	2010-05-13 16:00:00	30.779670293	176.911364873463	176.911364873463	0	353.822729746925	8491745.51392621	4953518.21645696	NA	154885899.946717	19937910.8212393	33662694.5081225
"MW 027"	"33969 - 33968"	8970	"70th St."	"MW"	FALSE	"MW 027"	"5/18/2010 17:52"	"5/19/2010 7:46"	"5/18/2010 23:52"	"5/19/2010 13:46"	"18-May-10"	"21-May-10"	"May"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	379.87	379.87	60	30	NA	3043	NA	1013	NA	465	"5/18/2010 17:52"	"5/19/2010 7:46"	NA	NA	NA	NA	NA	2010-05-18 23:52:00	2010-05-18	2010-05-18 22:52:00	2010-05-19 12:46:00	5597754.0518	122.2558	13.9	2010-05-19 02:00:00	2010-05-19 04:00:00	0.50084303	0	0	60213.4758463787	60213.4758463787	9510.64456467402	4755.32228233701	NA	482348.190171718	160571.382400246	73707.4953762237
"MW 032"	"33971 - 33970"	9030	"70th St."	"MW"	FALSE	"MW 032"	"6/2/2010 17:44"	"6/3/2010 10:57"	"6/2/2010 23:44"	"6/3/2010 16:57"	"2-Jun-10"	"4-Jun-10"	"Jun"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0.26	0	0	0.26	33000	7200	NA	461813	NA	4693	NA	4114	"6/2/2010 17:40"	"6/3/2010 14:05"	375.6492	2601.2539	"MW 032"	FALSE	"Rainfall"	2010-06-02 23:44:00	2010-06-02	2010-06-02 22:40:00	2010-06-03 19:05:00	32487193.043	2601.254	20.4166666666667	2010-06-02 21:00:00	2010-06-03 02:00:00	16.944706343	239.183064016863	0	0	239.183064016863	30357850.4329096	6623531.00354391	NA	424837878.241614	4317254.30550438	3784612.02063606
"MW 033"	"33973 - 33972"	9314	"70th St."	"MW"	FALSE	"MW 033"	"6/15/2010 15:16"	"6/16/2010 8:38"	"6/15/2010 21:16"	"6/16/2010 14:38"	"15-Jun-10"	"18-Jun-10"	"Jun"	"Event"	"Rainfall "	"CSO"	"CSO"	0	0	0	0	20800	18800	NA	387985	NA	19448	NA	26798	"6/15/2010 15:05"	"6/16/2010 17:30"	998.0676	4925.751	"MW 033"	FALSE	"Rainfall"	2010-06-15 21:16:00	2010-06-15	2010-06-15 20:05:00	2010-06-16 22:30:00	86232888.23475	4925.751	26.4166666666667	2010-06-15 16:00:00	2010-06-16 06:00:00	18.91145844	0	0	0	0	50790344.1204327	45906657.1857758	NA	947398637.671447	47488971.7526046	65436521.2374691
"MW 036"	"33976 - 33975"	9455	"70th St."	"MW"	FALSE	"MW 036"	"7/13/2010 8:53"	"7/13/2010 22:30"	"7/13/2010 14:53"	"7/14/2010 4:30"	"13-Jul-10"	"16-Jul-10"	"Jul"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	5.16	0	0	5.16	170	160	NA	2674	NA	113	NA	120	"7/13/2010 8:53"	"7/13/2010 22:30"	NA	NA	NA	NA	NA	2010-07-13 14:53:00	2010-07-13	2010-07-13 13:53:00	2010-07-14 03:30:00	2438248.6656	51.73653	13.6166666666667	2010-07-13 00:00:00	2010-07-13 06:00:00	0.003679304	356.264529231431	0	0	356.264529231431	11737.3972808805	11046.962146711	NA	184622.354876908	7801.91701611466	8285.22161003327
"MW 037"	"34566 - 34565"	9494	"70th St."	"MW"	FALSE	"MW 037"	"7/15/2010 7:31"	"7/16/2010 7:06"	"7/15/2010 13:31"	"7/16/2010 13:06"	"15-Jul-10"	"16-Jul-10"	"Jul"	"Event"	"Rainfall "	"CSO"	"CSO"	0	0	0	0	11000	5000	NA	58324	NA	1361	NA	1838	"7/14/2010 21:50"	"7/17/2010 6:00"	4756.4883	9667.04	"MW 037"	FALSE	"Rainfall"	2010-07-15 13:31:00	2010-07-15	2010-07-15 02:50:00	2010-07-17 11:00:00	410959582.6065	9667.04	56.1666666666667	2010-07-15 01:00:00	2010-07-15 14:00:00	80.16383777	0	0	0	0	128007874.017987	58185397.2809031	NA	678721022.202278	15838065.1398618	21388952.04046
"MW 038"	"33978 - 33977"	9576	"70th St."	"MW"	TRUE	"MW 038"	"7/22/2010 10:46"	"7/23/2010 8:02"	"7/22/2010 16:46"	"7/23/2010 14:02"	"22-Jul-10"	"23-Jul-10"	"Jul"	"Event"	"Rainfall "	"CSO"	"CSO"	0.0247906548129421	0	88.8447487186218	88.8695393734348	26816.1103865706	6068.40060724779	NA	142065.074042659	NA	87426.3946377389	NA	24886.397940702	"7/22/2010 9:40"	"7/23/2010 8:28"	4969.1421	10732.2695	"MW 038"	TRUE	"Rainfall"	2010-07-22 16:46:00	2010-07-22	2010-07-22 14:40:00	2010-07-23 13:28:00	853669215.24	10732.27	22.8	2010-07-22 13:00:00	2010-07-23 12:00:00	86.509814934	599.269957900312	0	2147663.67512314	2148262.94508104	648231741.503689	146692784.190964	NA	3434170318.73655	2113377489.59266	601584377.611079
"MW 040"	"33982 - 33981"	9829	"70th St."	"MW"	FALSE	"MW 040"	"8/4/2010 10:45"	"8/5/2010 7:58"	"8/4/2010 16:45"	"8/5/2010 13:58"	"4-Aug-10"	"5-Aug-10"	"Aug"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	5.55	5.55	350	350	NA	3445	NA	1157	NA	763	"8/4/2010 10:45"	"8/5/2010 7:58"	NA	NA	NA	NA	NA	2010-08-04 16:45:00	2010-08-04	2010-08-04 15:45:00	2010-08-05 12:58:00	5537785.12824	76.39227	21.2166666666667	2010-08-04 21:00:00	2010-08-04 23:00:00	0.04098374	0	0	870.309996243863	870.309996243863	54884.4141775409	54884.4141775409	NA	540219.448118938	181432.192009757	119648.022907039
"MW 042"	"34121 - 34120"	10041	"70th St."	"MW"	FALSE	"MW 042"	"9/13/2010 9:22"	"9/14/2010 7:47"	"9/13/2010 15:22"	"9/14/2010 13:47"	"13-Sep-10"	"14-Sep-10"	"Sep"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	1.83	1.83	230	360	NA	21352	NA	18005	NA	36000	"9/13/2010 9:22"	"9/14/2010 7:47"	NA	NA	NA	NA	NA	2010-09-13 15:22:00	2010-09-13	2010-09-13 14:22:00	2010-09-14 12:47:00	2619704.8509	39.67558	22.4166666666667	2010-09-13 14:00:00	2010-09-14 12:00:00	0	0	0	135.752658094034	135.752658094034	17061.8094872283	26705.4409365313	NA	1583929.37465782	1335642.95572846	2670544.09365313
