Study.Sample.ID	USDA.LIDE	GLWI.FT	Site.Name	Abbrev	Sample.Combining.needed.	USGS_ID	SSdate	SEdate	GMTbpdate	GMTepdate	Collection.Start.Date	GLWI.Sample.Arrival	cmonth	Sample.Type	Event.Type	Event.Type.2	GLWI.Event	Adenovirus.C.D.F	Adenovirus.A	Enterovirus	Human_virus	Enterococci.CFU.100ml	E..coli.CFU.100ml	BacSp.CN.100ml	Entero.CN.100ml	lachno	lachnocen	BacHuman	BacHumancen	DO_mean	DO_max	DO_min	DO_median	DO_sd	Q_mean	Q_max	Q_min	Q_median	Q_sd	SC_mean	SC_max	SC_min	SC_median	SC_sd	TURB_mean	TURB_max	TURB_min	TURB_median	TURB_sd	WTEMP_mean	WTEMP_max	WTEMP_min	WTEMP_median	WTEMP_sd	AntBase	WW.Adenovirus.C.D.F	WW.Adenovirus.A	WW.Enterovirus	WW.G1.Norovirus	WWFIB.BacHuman..CN.100ml.	WWFIB.BacSp..CN.100ml.	WWFIB.Entero..CN.100ml.	WWFIB.Lachno.2..CN.100ml.
MF 025	33958 - 33957	9456	Meno Falls	MF	FALSE	MF 025	7/13/2010 8:29	7/14/2010 5:57	7/13/2010 14:29	7/14/2010 11:57	13-Jul-10	16-Jul-10	Jul	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	170	280	1289	2527	233	233	BLD	60	7.676061776	8.5	7.1	7.6	0.398794613	8.710668488	9.838399	7.53847	8.789982	0.532938296	981.8301158	987	974	981	2.309841681	11.38378378	21	8.6	12	1.722909802	24.0003861	25.5	22.2	24	1.053877965	9.24	14846.45625	11270.03314	16735.33516	25338.38581	15072578.43	383821623.8	75061757.8	26243112.92
MF 026	34570 - 34569	9497	Meno Falls	MF	FALSE	MF 026	7/15/2010 7:07	7/16/2010 7:19	7/15/2010 13:07	7/16/2010 13:19	15-Jul-10	16-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	0	0	0	9900	5000	2376	78531	428	428	203	203	8.062413793	8.3	7.9	8.1	0.102904369	351.2908279	405.3587	267.1138	372.5461	46.66273756	361.1517241	380	278	371	19.92749176	40.02068966	62	24	40	10.60878331	22.88862069	24.1	21.7	22.8	0.775695799	9.24	15577.6498	10891.04617	17370.94194	22395.50095	14753472.69	390743175.9	69489404.88	24424528.21
MF 027	33960 - 33959	9573	Meno Falls	MF	TRUE	MF 027	7/22/2010 16:27	7/23/2010 12:05	7/22/2010 22:27	7/23/2010 18:05	22-Jul-10	23-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	0	0	0	27000	10600	9313	142137	6390	6390	5352	5352	8.208016878	8.3	8.2	8.2	0.027212903	504.2794809	1453.891	387.9998	438.562	197.7452566	295.0548523	349	103	325	64.02661943	39.29184549	220	18	25	37.13524644	22.47932489	23.2	22.1	22.4	0.32500777	29.77	16539.83532	60943.59442	20117.03211	139551.4052	11333417.05	350897016.1	41219239.36	15311096.11
MF 028	33962 - 33961	9610	Meno Falls	MF	TRUE	MF 027	7/23/2010 13:05	7/26/2010 0:12	7/23/2010 19:05	7/26/2010 6:12	23-Jul-10	26-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	0	0	0	190	330	BLD	5814	420	420	BLD	60	8.124438202	8.2	8	8.1	0.070309495	477.7427899	605.3875	371.1607	480.166	47.68814601	367.0856742	439	305	367	39.10870159	11.00898876	21	6.2	9.35	3.936990089	23.35196629	24.4	22.6	23.2	0.531930178	224.73	17344.92266	61504.04613	20151.87689	138422.0111	11317457.39	348964710.7	40672868.55	15498377.93
MF 031	34063 - 34062	9765	Meno Falls	MF	FALSE	MF 031	9/1/2010 2:01	9/1/2010 14:08	9/1/2010 8:01	9/1/2010 20:08	1-Sep-10	2-Sep-10	Sep	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	8900	11200	27919	120867	5993	5993	585	585	7.83862069	8.3	7.5	7.8	0.219907243	40.8138148	118.6552	16.82662	31.375775	23.26999508	547.6137931	802	242	528	146.1212009	29.62318841	110	13	22	21.8445747	23.56965517	24	23	23.6	0.327304678	4.2	994.7528356	160.7627384	2952.056514	3913.052881	14533994.98	311889468	49888094.27	23750322.61
MF 032	34127 - 34126	10043	Meno Falls	MF	FALSE	MF 032	9/13/2010 8:49	9/14/2010 7:52	9/13/2010 14:49	9/14/2010 13:52	13-Sep-10	14-Sep-10	Sep	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	330	250	127487	10728	BLD	60	120	120	8.894223827	9.6	8.5	8.8	0.33259388	8.230253337	10.5937	6.651874	7.990322	1.051235855	963.5523466	967	961	963	1.544615442	3.014440433	12	1.4	3.1	1.119171274	17.64729242	19.3	16.1	17.5	1.042242686	6.32	34595.11893	27.96319494	23630.40434	51163.41219	17841455.61	330071426	58138623.49	25544347.04
MF 033	34077 - 34076	10150	Meno Falls	MF	FALSE	MF 033	10/23/2010 16:59	10/24/2010 17:11	10/23/2010 22:59	10/24/2010 23:11	23-Oct-10	25-Oct-10	Oct	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	4000	7500	877105	360998	2907	2907	2402	2402	9.401027397	9.8	8.9	9.4	0.226201958	34.62229048	68.18	2.899956	33.92592	14.46361094	655.9554795	1060	202	580.5	247.7685181	20.86130137	140	3.6	13	23.1438036	12.84623288	14	10.9	13.1	1.054667023	2.94	2552.80617	47540.25294	60883.34282	1743.185885	13541087.32	349459331.4	61725315.81	15033013.55
MF 034	34085 - 34084	10215	Meno Falls	MF	FALSE	MF 034	10/26/2010 8:37	10/26/2010 22:50	10/26/2010 14:37	10/27/2010 4:50	26-Oct-10	26-Oct-10	Oct	Event	Rainfall 	Rainfall 	Rain	0	0	48.97	48.97	4700	2400	157140	37222	915	915	1155	1155	9.106432749	9.4	8.9	9	0.142724003	30.13854778	39.50407	26.08824	30.14969	2.482425185	723.245614	810	608	716	66.63851934	9.096491228	12	7.2	9	1.272602463	14.05146199	15.1	12.5	14.3	0.813370383	10.74	2461.355032	42742.22006	55083.03665	4323.830984	13298929.79	355076467.4	60707272.94	13939449.5
MF 035	34093 - 34092	10327	Meno Falls	MF	FALSE	MF 035	11/10/2010 9:14	11/11/2010 8:01	11/10/2010 15:14	11/11/2010 14:01	10-Nov-10	11-Nov-10	Nov	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	120	90	76784	2548	BLD	60	BLD	60	11.43854545	14.3	10.4	10.5	1.41079185	7.252612609	7.836458	6.651881	7.250007	0.248145596	1053.781818	1060	1040	1060	8.60039659	2.718909091	3.5	2.2	2.7	0.280261041	7.640363636	8.6	6.6	7.5	0.472383163	7.23	28408.61153	16050.36672	25465.1075	128054.4196	12653194.5	405540329.9	79706075.32	29495301.4
MF 036	34111 - 34110	10337	Meno Falls	MF	FALSE	MF 036	11/22/2010 7:38	11/23/2010 7:49	11/22/2010 13:38	11/23/2010 13:49	22-Nov-10	23-Nov-10	Nov	Event	Rainfall 	Rainfall 	Rain	0	0	0.09	0.09	6200	6400	2001947	97317	2677	2677	2025	2025	10.97671233	12	10.3	10.9	0.515937221	11.59221554	22.10664	7.836458	10.98913	2.636875274	947.9931507	1060	624	966	72.40118248	8.573287671	95	4.3	6.2	8.641053543	6.606164384	7.7	4.3	6.8	0.886339443	7.05	59333.67738	1341.281863	9920.216012	303292.7563	14531306.76	279306413.7	129748692	44622083.43
