Study.Sample.ID	USDA.LIDE	GLWI.FT	Site.Name	Abbrev	Sample.Combining.needed.	USGS_ID	SSdate	SEdate	GMTbpdate	GMTepdate	Collection.Start.Date	GLWI.Sample.Arrival	cmonth	Sample.Type	Event.Type	Event.Type.2	GLWI.Event	Adenovirus.C.D.F	Adenovirus.A	Enterovirus	Human_virus	Enterococci.CFU.100ml	E..coli.CFU.100ml	BacSp.CN.100ml	Entero.CN.100ml	lachno	lachnocen	BacHuman	BacHumancen	DO_mean	DO_max	DO_min	DO_median	DO_sd	Q_mean	Q_max	Q_min	Q_median	Q_sd	SC_mean	SC_max	SC_min	SC_median	SC_sd	TURB_mean	TURB_max	TURB_min	TURB_median	TURB_sd	WTEMP_mean	WTEMP_max	WTEMP_min	WTEMP_median	WTEMP_sd	AntBase	WW.Adenovirus.C.D.F	WW.Adenovirus.A	WW.Enterovirus	WW.G1.Norovirus	WWFIB.BacHuman..CN.100ml.	WWFIB.BacSp..CN.100ml.	WWFIB.Entero..CN.100ml.	WWFIB.Lachno.2..CN.100ml.
LD 042	34625 - 34624	10488	Donges Bay	LD	FALSE	LD 042	3/14/2011 11:40	3/16/2011 9:35	3/14/2011 17:40	3/16/2011 15:35	14-Mar-11	17-Mar-11	Mar	Event	Snowmelt	Snowmelt	Baseflow	0	0	10.33	10.33	160	270	2808833	363432	18622	18622	8960	8960	11.64039855	13.1	10.6	11.2	0.819752865	14.02043788	18.67474	10.24908	13.18989	2.411840113	1016.04529	1060	949	1020	29.05173643	4.842391304	9.5	2.9	4.6	1.447287997	2.601992754	4.7	0.8	2.4	1.158185426	7.19	152732.9419	12835.04565	33064.84315	16707.69941	19060265.34	264159856.9	217812833.9	33318319.2
LD 043	34635 - 34634	10523	Donges Bay	LD	FALSE	LD 043	3/17/2011 10:17	3/18/2011 20:29	3/17/2011 16:17	3/19/2011 2:29	17-Mar-11	21-Mar-11	Mar	Event	Snowmelt	Snowmelt	Rain	0	0	0	0	130	30	181302	57674	BLD	60	BLD	60	10.62185792	11.2	9.9	10.8	0.419789117	90.7054387	134.5245	55.07751	83.93446	24.19170312	587.0827251	728	481	587	51.23340153	48.86585366	180	15	33	42.50579198	3.181265207	5	1.8	3	0.912655923	10.84	140183.8419	11682.9742	30846.94309	14695.4617	19476655.15	276555131	190628476.8	33272541.63
LD 044	34651 - 34650	NA	Donges Bay	LD	FALSE	LD 044	3/22/2011 16:30	3/23/2011 19:05	3/22/2011 22:30	3/24/2011 1:05	22-Mar-11	NA	Mar	Event	Rainfall 	Rainfall 	NA	5.91	0	0	5.91	NA	NA	NA	NA	NA	NA	NA	NA	11.57829181	12	11	11.6	0.312350422	157.4681706	196.6084	115.8791	154.7759	26.41281245	523.628125	596	482	522.5	31.67392383	64.19266055	88	40	58	16.35682951	1.976875	3	1.4	2	0.451083249	85.9	117754.2138	9623.819821	26882.78043	11098.88957	20220889.28	298709818.5	142040528.6	33190721.11
LD 045	34661 - 34660	10598	Donges Bay	LD	FALSE	LD 045	3/29/2011 8:25	3/30/2011 8:17	3/29/2011 14:25	3/30/2011 14:17	29-Mar-11	30-Mar-11	Mar	Baseflow	Baseflow	Baseflow	Baseflow	3.82	0	0	3.82	77	18	408319	9395	1028	1028	855	855	10.93763066	11.4	10.5	10.9	0.346074838	17.38408003	18.19796	14.95911	17.72461	0.920273306	772.9268293	790	759	773	6.76722444	6.126480836	14	3.6	5.8	1.333220961	3.797560976	6.2	1.6	3.7	1.463648441	21.72	89335.84843	7014.868777	21860.18164	6542.028406	22745602.33	309349803.3	133728166.1	30000564.27
UW 001	33618 - 33619	8722	Underwood	UW	FALSE	UW 001	3/1/2010 10:14	3/2/2010 9:10	3/1/2010 16:14	3/2/2010 15:10	1-Mar-10	4-Mar-10	Mar	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	710	910	NA	36287	4914	4914	7282	7282	15.3562963	24.1	11.2	11.9	5.024891312	6.240308652	7.515659	5.370299	5.974952	0.626456099	3063.709091	3340	2390	3230	276.2656127	5.351485149	7.8	4.4	5.4	0.536362145	2.842181818	8	0	1.5	2.761248191	5.8	7731.805882	0	30400.87208	33909.1911	24411783.59	285584928.4	164251261.9	38764059.62
UW 002	33668 - 33669	8746	Underwood	UW	FALSE	UW 002	3/11/2010 12:50	3/15/2010 8:47	3/11/2010 18:50	3/15/2010 14:47	11-Mar-10	17-Mar-10	Mar	Event	Mix	Mix	Rain	6.82	0	0	6.82	190	10	NA	36571	2003	2003	165	165	12.43288166	15.2	11.4	12.1	0.946748078	77.34388797	138.5945	40.21362	76.51966	22.39214697	1399.36766	1610	1200	1400	77.83785578	17.01508582	160	4.3	10	21.15299598	4.42366757	6.8	2.6	4.3	0.922297582	18.58	10726.19696	0	42325.76667	47917.88117	23949856.06	298923220.9	179617873.6	40212141.88
UW 004	33692 - 33693	8803	Underwood	UW	FALSE	UW 004	4/7/2010 15:43	4/8/2010 15:23	4/7/2010 21:43	4/8/2010 21:23	7-Apr-10	10-Apr-10	Apr	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	1050	600	NA	23130	6318	6318	5071	5071	11.49719298	13.2	10.7	10.9	0.887824042	76.70051951	215.3155	45.86901	64.7516	35.71968711	1289.312281	1470	605	1340	204.0690059	21.07087719	88	4.8	14	20.09001997	7.261754386	8.5	6.4	7.2	0.54097305	10.8	8205.160346	10269.82017	5302.709008	6065.594367	18204496.08	340060166.3	197648089.4	36311532.27
UW 005	33702 - 33703	8857	Underwood	UW	FALSE	UW 005	4/25/2010 6:16	4/26/2010 8:03	4/25/2010 12:16	4/26/2010 14:03	25-Apr-10	28-Apr-10	Apr	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	640	470	NA	44001	1463	1463	1703	1703	10.1585209	11.2	9.9	10.1	0.227148663	96.78217366	144.862	60.24	96.57083	23.17852243	1034.488746	1200	768	1080	121.4577281	20.7511254	65	7.8	16	12.91169226	9.250482315	9.9	8.2	9.4	0.471707358	7.37	4222.341617	13182.64678	2424.672149	4946.860393	16400197.89	307004848.7	168546075.6	39576892.74
UW 006	33710 - 33711	8950	Underwood	UW	FALSE	UW 006	5/11/2010 4:32	5/12/2010 8:27	5/11/2010 10:32	5/12/2010 14:27	11-May-10	14-May-10	May	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	960	620	NA	128744	4045	4045	7528	7528	10.4389881	10.8	10	10.4	0.205588024	81.37395934	157.89	36.02156	61.34427	41.65524277	918.5238095	1320	436	906.5	293.9042377	20.46547619	60	5.5	15	13.67841524	8.907440476	9.1	8.6	8.9	0.142592194	8.96	78222.36026	14584.95658	1707.284062	4532.724065	14268566.12	262378162.7	134051903	35779133.57
UW 007	33987 - 33986	8972	Underwood	UW	FALSE	UW 007	5/18/2010 7:53	5/19/2010 7:41	5/18/2010 13:53	5/19/2010 13:41	18-May-10	21-May-10	May	Baseflow	Baseflow	Baseflow	Baseflow	0	0.39	0	0.39	350	180	NA	9617	1521	1521	2917	2917	11.47038328	16.6	7.9	10.3	3.320090496	13.91811579	14.91947	13.07306	13.83864	0.658205457	1554.529617	1600	1480	1570	31.78332997	3.0271777	4.5	2.7	3	0.207785644	14.6466899	20.9	10.9	13.5	3.322762329	12.79	206276.3435	14239.51294	454.243839	1205.986764	12537949.99	229473975.4	112088280.4	25324712.84
UW 013	33990 - 33989	9457	Underwood	UW	FALSE	UW 013	7/13/2010 9:56	7/14/2010 8:06	7/13/2010 15:56	7/14/2010 14:06	13-Jul-10	16-Jul-10	Jul	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	270	400	NA	7222	BLD	60	BLD	60	10.6738806	20.3	5.4	7.9	5.578415185	8.201816326	9.020561	7.515659	8.322367	0.496843753	1449.440299	1540	1330	1480	78.31598449	6.903358209	30	4	6.2	2.959038067	22.33768657	27.8	18.5	21.1	3.328049763	10.98	14869.19171	11258.24906	16755.09848	25246.88082	15062656.27	384036840	74888493.08	26186566.5
UW 014	34572 - 34571	9498	Underwood	UW	FALSE	UW 014	7/15/2010 7:20	7/16/2010 7:10	7/15/2010 13:20	7/16/2010 13:10	15-Jul-10	16-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	0	0	0	35000	10400	NA	203195	600	600	428	428						333.4967801	637.7682	169.5843	347.2038	98.14741608																8.69	15581.04705	10889.28533	17373.89508	22381.82779	14751990.06	390775334.6	69463514.75	24416078.74
UW 015	33992 - 33991	9572	Underwood	UW	TRUE	UW 015	7/22/2010 11:41	7/23/2010 10:16	7/22/2010 17:41	7/23/2010 16:16	22-Jul-10	23-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0.24	0.24	2.14	2.62	69000	13500	NA	168525	7418	7418	3878	3878	7.872426471	9.5	7.4	7.8	0.492988471	1166.240961	3782.027	39.66906	861.988	1009.058962	366.3345588	853	151	355	165.8887565	50.01470588	180	13	36	34.66007525	22.75330882	23.8	22	22.6	0.481759621	12.66	16518.45001	59471.3853	20042.40767	136086.2147	11430781.19	352131015.5	41996568.78	15561475.04
UW 016	33994 - 33993	9609	Underwood	UW	TRUE	UW 015	7/23/2010 10:46	7/25/2010 6:46	7/23/2010 16:46	7/25/2010 12:46	23-Jul-10	26-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	0	0	0	290	1000	NA	11691	1095	1095	173	173	7.644339623	8.2	7.2	7.6	0.264210558	359.0863809	924.3899	129.5831	315.1678	206.8863013	536.1792453	743	368	504	116.328116	15.33497164	42	9.2	13	6.791561585	23.04566038	24	21.4	23.1	0.699304298	355.48	17225.09273	61681.24331	20159.87025	139215.1619	11302496.86	349040817.6	40617775.17	15424837.42
UW 019	33999 - 33998	9888	Underwood	UW	FALSE	UW 019	8/20/2010 18:45	8/23/2010 5:09	8/21/2010 0:45	8/23/2010 11:09	20-Aug-10	23-Aug-10	Aug	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	8700	9900	NA	207940	2327	2327	4030	4030	8.292471591	12.7	6	7.4	1.686449256	46.19553938	361.9356	8.155295	25.17946	66.79789452	1069.360795	1500	305	1130	320.8038941	14.29431818	140	2.9	5.5	20.51799256	22.60099432	28.8	18.5	22.3	2.446011444	7.08	322.103001	318.996245	2714.278363	8159.283127	9838901.282	331471839.7	35508832.79	23117191.59
UW 020	34065 - 34064	9764	Underwood	UW	FALSE	UW 020	9/1/2010 3:24	9/1/2010 15:17	9/1/2010 9:24	9/1/2010 21:17	1-Sep-10	2-Sep-10	Sep	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	21000	44000	NA	368401	14577	14577	9054	9054	8.311188811	9.8	7.2	8	0.983820155	54.729743	204.522	20.368	27.57722	51.70722806	678	997	341	717	189.0836315	25.34577465	200	6.5	12	29.67236846	22.51888112	23.4	21.9	22.3	0.518930516	5.01	998.1830357	159.9558214	2953.269071	3891.399089	14557937.76	311789607.1	49961421.79	23753551.28
UW 021	34123 - 34122	10039	Underwood	UW	FALSE	UW 021	9/13/2010 8:52	9/14/2010 7:41	9/13/2010 14:52	9/14/2010 13:41	13-Sep-10	14-Sep-10	Sep	Baseflow	Baseflow	Baseflow	Baseflow	0	1.55	0.61	2.16	360	630	NA	44941	BLD	60	BLD	60	10.30912409	16.2	7.2	8	3.386077501	5.288992912	5.849531	4.819252	5.255932	0.339743364	1564.708029	1660	1460	1570	59.91528337	2.764233577	4.7	2.4	2.7	0.351081474	17.86934307	24.7	13.6	16.65	3.74555291	5.67	34615.08756	27.95767262	23642.77657	51193.94265	17841237.32	330091642.2	58136820.57	25545131.46
UW 022	34073 - 34072	10122	Underwood	UW	FALSE	UW 022	10/13/2010 8:08	10/14/2010 7:23	10/13/2010 14:08	10/14/2010 13:23	13-Oct-10	14-Oct-10	Oct	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	20	250	NA	10058	1518	1518	435	435	10.48892857	16.9	7.2	8.5	3.485729062	2.531151839	2.799743	2.370879	2.487182	0.114374526	1547.464286	1670	1380	1565	96.88517467	2.036785714	4	1.6	2	0.296763347	13.49785714	18.7	9	13.4	3.170234953	2.53	227.5491481	111.5531852	2115.278593	27208.58663	14675837.53	493150536.3	45420130.43	28004425.32
UW 023	34079 - 34078	10149	Underwood	UW	FALSE	UW 023	10/23/2010 23:42	10/24/2010 20:57	10/24/2010 5:42	10/25/2010 2:57	23-Oct-10	25-Oct-10	Oct	Event	Rainfall 	Rainfall 	Rain	0	0	3.67	3.67	6000	26500	NA	632168	4973	4973	1245	1245	8.710588235	9.6	7.8	8.8	0.512372173	47.51071384	157.4324	12.58325	31.2559	40.20883506	559.8078431	771	235	599	159.1442616	24.41960784	260	7.4	11	41.11928403	14.41176471	15.7	13.7	14.3	0.560036226	2.43	2543.15326	47033.80788	60271.10516	2015.579802	13510459.48	345580987.3	62165406.2	14682904.46
UW 024	34087 - 34086	10214	Underwood	UW	FALSE	UW 024	10/26/2010 6:34	10/26/2010 23:20	10/26/2010 12:34	10/27/2010 5:20	26-Oct-10	26-Oct-10	Oct	Event	Rainfall 	Rainfall 	Rain	0	0.26	0	0.26	36000	24000	NA	635639	4191	4191	2634	2634	8.574752475	9.3	7.8	8.6	0.37906167	35.07447171	156.9754	9.768795	19.29759	39.42408238	729.6188119	1030	306	785	236.9294629	25.30990099	120	6.1	14	27.24936808	13.6549505	16	10.8	14	1.832188765	3.39	2464.301206	42896.79263	55269.89827	4240.693386	13305434.65	353751598.8	60880152.61	13914639.75
UW 025	34095 - 34094	10326	Underwood	UW	FALSE	UW 025	11/10/2010 9:28	11/11/2010 7:43	11/10/2010 15:28	11/11/2010 13:43	10-Nov-10	11-Nov-10	Nov	Baseflow	Baseflow	Baseflow	Baseflow	0	7.77	0	7.77	360	340	NA	13690	278	278	180	180	11.14776119	18.1	8.1	8.6	3.711480648	2.636723764	2.933949	2.487182	2.608382	0.08407221	1758.992537	1840	1690	1760	34.9224923	4.436567164	8.7	2.5	3.2	2.06774918	9.657835821	13.2	7.4	8.8	1.730486222	2.63	28455.33199	16033.66048	25449.62255	128257.8729	12653347.32	405363981.4	79774923.98	29518176.69
UW 026	34113 - 34112	10336	Underwood	UW	FALSE	UW 026	11/22/2010 7:32	11/23/2010 0:40	11/22/2010 13:32	11/23/2010 6:40	22-Nov-10	23-Nov-10	Nov	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	20300	23300	NA	675808	40018	40018	6552	6552	9.179126214	10.1	7.7	9.2	0.471635673	22.81514743	123.4843	4.512661	11.99382	25.2811638	714.3009709	1660	430	688	244.229234	56.3592233	770	6.9	27	99.71884714	10.32524272	11.6	8.1	10.4	0.897662922	2.72	59346.42112	1341.25281	9922.559185	303297.9383	14529144.69	279270100.9	129761927.3	44628341.33
UW 027	34129 - 34128	10340	Underwood	UW	FALSE	UW 027	11/29/2010 19:31	11/30/2010 17:26	11/30/2010 1:31	11/30/2010 23:26	29-Nov-10	1-Dec-10	Nov	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	7200	7300	NA	189173	15907	15907	3650	3650	10.9890566	12.3	10.2	10.6	0.749945109	13.52185072	23.89296	5.974958	12.82613	4.856752154	987.7169811	1270	651	1000	183.3344742	16.80754717	68	7.3	14	10.00445448	5.944528302	7.6	3.4	6.6	1.213363978	3.51	36409.82364	1393.544396	5705.237214	293971.1698	18420508.46	344627230.9	105940596.5	33365161.64
UW 028	34327 - 34326	10360	Underwood	UW	FALSE	UW 028	12/11/2010 16:15	12/12/2010 16:43	12/11/2010 22:15	12/12/2010 22:43	11-Dec-10	13-Dec-10	Dec	Event	Mix	Mix	Rain	0	0	0	0	2900	3600	NA	211968	14930	14930	4763	4763	13.09355932	13.7	12	13	0.382694363	67.16478629	147.0614	14.37028	45.600465	48.57307219	2324.881356	4340	842	2730	991.3892418	41.87118644	260	13	25	47.21355107	1.044067797	2	0	0.9	0.587474471	3.4	47601.40545	1104.750737	0	212271.4088	24978855.83	433226529.1	85198136.75	22961896.87
UW 029	34329 - 34328	10366	Underwood	UW	FALSE	UW 029	12/19/2010 12:55	12/20/2010 3:01	12/19/2010 18:55	12/20/2010 9:01	19-Dec-10	20-Dec-10	Dec	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	160	330	NA	82741	3231	3231	902	902	13.32280702	14.7	12.9	13	0.581686456	3.598264228	3.949667	3.073678	3.527928	0.27968088	2117.48538	2220	2040	2110	59.24121744	3.640935673	3.9	3.4	3.6	0.123513521	0	0	0	0	0	3.9	234675.6475	62.96089616	1993.940255	116367.0353	27713181.65	406928477.8	127254876	37573871.99
UW 030	34560 - 34559	10455	Underwood	UW	FALSE	UW 030	1/5/2011 10:33	1/6/2011 8:21	1/5/2011 16:33	1/6/2011 14:21	5-Jan-11	6-Jan-11	Jan	Baseflow	Baseflow	Baseflow	Baseflow	0	1.68	0	1.68	170	300	NA	26760	637	637	457	457	13.11450382	16	11.8	12	1.577967175	4.730075092	7.991138	4.130173	4.317759	1.012526543	2787.671756	3240	2350	2590	355.6338024	4.52480916	8.4	4.2	4.5	0.351944464	0	0	0	0	0	4.1	610341.1121	475.4352679	15056.79838	878719.9035	19576507.71	230948908.9	171618402.2	35997552.44
UW 031	34589 - 34588	10478	Underwood	UW	FALSE	UW 031	2/28/2011 10:56	3/1/2011 15:45	2/28/2011 16:56	3/1/2011 21:45	28-Feb-11	1-Mar-11	Feb	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	72	215	NA	7939	2176	2176	1559	1559	15.38866279	20.3	12.2	14.05	3.071407586	8.49239631	11.20769	7.212433	8.155295	0.962260313	5083.546512	5630	4650	5065	218.8938082	5.565988372	13	3.2	4.85	1.928860193	2.783139535	8	0	1.1	3.053489238	8.11	359587.5121	16423.53126	8923.916901	4776.280041	29076775.79	323205316.9	296917214.5	43551221.06
UW 032	34617 - 34616	10482	Underwood	UW	FALSE	UW 032	3/9/2011 5:00	3/10/2011 9:04	3/9/2011 11:00	3/10/2011 15:04	9-Mar-11	10-Mar-11	Mar	Event	Snowmelt	Snowmelt	Rain	0	0	130.72	130.72	1150	1490	NA	71671	16635	16635	3732	3732	13.27507418	15.7	12.7	12.9	0.786664567	28.61876653	41.32151	17.94617	27.57722	6.550723755	5527.952522	8770	4020	5100	1017.650315	31.82522255	76	7.8	29	20.16464784	2.04272997	3.2	0.4	2.1	0.712274794	9.66	199738.4888	14584.10375	31258.5175	16730.25813	20273351.77	261220774.4	258323383.7	35035850.17
UW 033	34629 - 34628	10490	Underwood	UW	FALSE	UW 033	3/14/2011 11:48	3/16/2011 16:50	3/14/2011 17:48	3/16/2011 22:50	14-Mar-11	17-Mar-11	Mar	Event	Snowmelt	Snowmelt	Baseflow	0	0	0	0	440	610	NA	17983	3021	3021	3422	3422	15.43123028	21.5	12	13.7	3.334207225	27.8659275	52.12806	18.61128	26.8148	5.947111667	2485.347003	3010	1900	2480	268.4558079	8.278391167	23	4.6	7.6	3.190183888	4.799211356	9.6	1.7	4	2.411390036	20.29	152709.2476	12832.87039	33060.65547	16703.90004	19061051.54	264183260.7	217761506.4	33318232.77
UW 034	34641 - 34640	10525	Underwood	UW	FALSE	UW 034	3/17/2011 13:15	3/19/2011 18:03	3/17/2011 19:15	3/20/2011 0:03	17-Mar-11	21-Mar-11	Mar	Event	Snowmelt	Snowmelt	NA	0	0	0	0	500	190	NA	14887	788	788	113	113	13.61028481	16.9	11.6	12.9	1.632108079	61.39360044	94.04639	37.03819	58.01401	18.14283835	1714.066456	1820	1490	1790	110.6131106	15.29936407	49	4.2	8	12.92368461	5.06914557	8.4	2.4	5	1.582856021	36.85	139656.6435	11634.57469	30753.76721	14610.92587	19494148.04	277075867.1	189486438.6	33270618.48
UW 035	34643 - 34642	NA	Underwood	UW	FALSE	UW 035	3/20/2011 9:37	3/21/2011 8:01	3/20/2011 15:37	3/21/2011 14:01	20-Mar-11		Mar	Event	Rainfall 	Rainfall 	Rain	0	0.31	0	0.31	NA	NA	NA	NA		NA		NA	12.75687732	13	12.5	12.7	0.127252495	213.7454078	517.5336	56.92545	161.3717	107.5883831	1137.434944	1870	817	1140	174.4815359	91.98490566	280	24	81	56.868067	3.882156134	4.2	3.7	3.8	0.11898748	41.75	127507.385	10519.21073	28606.53424	12662.80242	19897270.77	289076200.9	163168234	33226299.48
UW 036	34655 - 34654	NA	Underwood	UW	FALSE	UW 036	3/22/2011 15:03	3/23/2011 21:49	3/22/2011 21:03	3/24/2011 3:49	22-Mar-11	NA	Mar	Event	Rainfall 	Rainfall 	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	12.81788618	13.1	12.3	12.8	0.161867089	176.5919157	546.1993	101.7805	147.7478	81.06136562	1030.929539	1330	733	1070	149.8531905	32.11382114	190	12	21	30.05851266	3.336585366	4.6	2.6	3.3	0.386793176	41.75	118011.8895	9647.475761	26928.32145	11140.20765	20212339.39	298455301.5	142598715.7	33191661.08
UW 037	34669 - 34668	10600	Underwood	UW	FALSE	UW 037	3/29/2011 8:38	3/30/2011 10:37	3/29/2011 14:38	3/30/2011 16:37	29-Mar-11	30-Mar-11	Mar	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	146	153	NA	8275	1095	1095	3615	3615	13.48141026	15.7	11.7	12.95	1.500238116	20.51773471	21.48936	19.29759	20.73604	0.648563615	1923.141026	2010	1860	1920	34.17948628	5.03516129	21	3.2	3.6	3.260267199	5.082371795	10.6	2	4.2	2.658138655	19.62	89297.34517	7011.333981	21853.37666	6535.854441	22750100.42	309352346.7	133753174.2	29994139.65
HW 001	33295 - 33296	6511	Honey	HW	FALSE	HW 001	4/6/2009 10:02	4/7/2009 10:31	4/6/2009 16:02	4/7/2009 16:31	6-Apr-09	10-Apr-09	Apr	Baseflow	Baseflow	Baseflow	Baseflow	153.95	62.16	32.04	248.15	46	38	172369	10184	3263	3263	2791	2791	14.42380952	17.8	12.1	13.45	2.189809889	3.404448051	4.277254	2.804663	3.380985	0.254619122	NA	#NAME?	Inf	NA	NA	3.471428571	12	1	2.3	2.909206288	5.470408163	9.2	3	4.95	2.073753214	3.03	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
HW 002	33312 - 33313	6516	Honey	HW	FALSE	HW 002	4/19/2009 18:42	4/22/2009 5:43	4/20/2009 0:42	4/22/2009 11:43	19-Apr-09	24-Apr-09	Apr	Event	Rainfall 	Rainfall 	Rain	0	147.47	0	147.47	630	410	186429	30116	4496	4496	4170	4170	11.75671853	12.6	11.3	11.7	0.350183252	44.36972226	171.6795	10.75604	26.33825	42.07094021	1249.588402	2030	368	1310	497.4561196	19.340625	74	4.4	16	11.92667879	7.495898161	9	5.6	7.6	0.804482929	1.26	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
HW 003	33344 - 33345	6746	Honey	HW	FALSE	HW 003	5/13/2009 20:17	5/15/2009 7:07	5/14/2009 2:17	5/15/2009 13:07	13-May-09	16-May-09	May	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	4040	3150	258287	136511	7455	7455	4620	4620	10.71794258	11.6	10	10.6	0.437387685	146.0711811	1131.024	13.30943	29.738535	279.4416155	165.2089552	252	92	166	37.07181291	43.24873239	350	4.7	14	61.2273767	14.6222488	17.3	12.5	14.5	1.44199027	3.5	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
HW 005	33384 - 33385	6919	Honey	HW	FALSE	HW 005	6/8/2009 2:51	6/8/2009 21:34	6/8/2009 8:51	6/9/2009 3:34	8-Jun-09	12-Jun-09	Jun	Event	Rainfall 	Rainfall 	Rain	0	0	291.85	291.85	7200	3200	2210649	639176	BLD	60	1620	1620	11.16741071	12	10.3	11.2	0.505982586	117.8174188	888.609	11.36479	24.84973	201.8828886	136.3	156	124	133.5	10.00055554	16.20655738	32	9.7	15	5.110931711	14.03125	15.6	12.6	14.05	1.015841452	1.17	19556.85832	31807.34947	7957.462528	14532.71042	18026743.53	753349938.4	70332659.43	43104321.78
HW 006	33397 - 33398	7004	Honey	HW	FALSE	HW 006	6/15/2009 20:51	6/16/2009 11:42	6/16/2009 2:51	6/16/2009 17:42	15-Jun-09	15-Jun-09	Jun	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	870	660	235521	9995	244	244	611	611	8.861235955	11.1	7.7	8.4	1.15827294	1.115547407	1.18959	1.054981	1.121065	0.02565179	NA	#NAME?	Inf	NA	NA	3.236516854	8	2.4	3.1	0.721081424	16.38932584	19	15	15.8	1.317139769	1.12	37001.23396	52181.0403	9407.65147	11386.47968	22176502.84	798561660	65481596.53	43669539.8
HW 009	33443 - 33444	7772	Honey	HW	FALSE	HW 009	8/11/2009 12:12	8/12/2009 8:29	8/11/2009 18:12	8/12/2009 14:29	11-Aug-09	14-Aug-09	Aug	Baseflow	Baseflow	Baseflow	Baseflow	7.21	0	0	7.21	740	1070	62578	30118	263	263	68	68	7.866523605	8.6	7.4	7.8	0.338345901	2.998348346	4.038744	1.870178	2.988131	0.602388947	1265.450644	1330	1190	1280	47.36949779	4.063809524	23	1.2	3.8	2.538342292	20.58454936	23.3	18.2	20.3	1.852031012	3.59	20079.71819	113.6581952	308.69775	6094.670438	17969700.54	625929070.7	35102882.4	31269553.23
HW 011	33462 - 33463	8304	Honey	HW	FALSE	HW 011	9/14/2009 9:59	9/15/2009 8:29	9/14/2009 15:59	9/15/2009 14:29	14-Sep-09	17-Sep-09	Sep	Baseflow	Baseflow	Baseflow	Baseflow	24.81	0	0	24.81	440	320	243017	23683	1819	1819	360	360	7.55	9.8	6.2	7	1.258450986	0.953136108	1.33407	0.722793	0.93	0.115135161	1659.074074	1700	1620	1650	21.56243795	2.044444444	6.4	1.3	2.1	0.524516654	19.15074074	19.6	18.4	19.2	0.32121315	0.98	53411.23903	1672.512009	2097.631938	10425.38827	19079763.26	790980925	41841887.09	40616675.55
HW 012	33474 - 33475	8458	Honey	HW	FALSE	HW 012	9/22/2009 12:39	9/23/2009 2:18	9/22/2009 18:39	9/23/2009 8:18	22-Sep-09		Sep	Event	Rainfall 	Rainfall 	Rain	0	0	0	0		NA		NA		NA		NA	8.091463415	8.5	7.6	8.1	0.297927903	37.48868155	147.2808	5.928729	25.09502	35.54529448	352.1402439	577	164	349.5	120.7968374	83.20121951	310	20	81	58.82324359	19.45426829	20	18.7	19.5	0.376348391	5.02	35909.90762	4247.84193	1505.593248	8036.6168	19456305.37	760641746.1	39755258.42	37615094.14
HW 013	33484 - 33485	NA	Honey	HW	FALSE	HW 013	9/27/2009 19:41	9/28/2009 6:14	9/28/2009 1:41	9/28/2009 12:14	27-Sep-09	26-Sep-09	Sep	Event	Rainfall 	Rainfall 	NA	0	0	0	0	22000	16000	1397199	121857	8553	8553	3539	3539	8.851587302	9	8.7	8.8	0.10255467	55.06113294	195.2244	14.7062	21.1244	58.67200994	307.2619048	608	78	287	158.5588183	115.2396694	290	64	110	33.58646176	16.5468254	17.8	15.4	16.5	0.686869596	5.26	24489.09015	5928.421096	1119.247452	6477.779802	19702024.89	740843353.9	38393590.29	35656356.68
HW 014	33494 - 33495	NA	Honey	HW	FALSE	HW 014	10/1/2009 20:29	10/2/2009 9:23	10/2/2009 2:29	10/2/2009 15:23	1-Oct-09	NA	Oct	Event	Rainfall 	Rainfall 	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	9.764285714	10.1	9.5	9.8	0.187406995	75.68208923	199.5487	21.57088	55.00205	49.39847665	255.1103896	470	107	226.5	124.1576881	47.925	82	19	55.5	22.57112689	13.77987013	14.2	13.3	13.8	0.277330852	1.76	15786.3733	7209.030358	824.8501302	5289.938648	19889264.32	725756885.5	37355992.75	34163789.48
