FT#	Site Code	Abb.	Sample Date	Event 	Enterococci CFU/100ml	E. coli CFU/100ml	BacHuman CN/100ml	RERUN BacHuman CN/100ml	BacSp CN/100ml	Ratio Human/Sp	Entero CN/100ml	Lachno 2 CN/100ml	RERUN Lachno 2 CN/100ml	Ruminant CN/100ml	Cow CN/100ml	Notes
8722	USGSUW001	UW	04-Mar-10	Baseflow	710.00 	910.00 	7282.38 		574914.08 	0.01 	36286.75 	4913.58 				
8746	USGSUW002	UW	17-Mar-10	Rain	190.00 	10.00 	BLD	165.00 	58295.89 		36570.96 	1652.28 	2003.00 			
8747	USGSMF018	MF	17-Mar-10	Rain	0.00 	0.00 	BLD	BLD	19526.80 		1406.97 	BLD	195.00 			
8748	USGSLD020	LD	17-Mar-10	Rain	170.00 	3.00 	BLD	BLD	240563.95 		16888.73 	BLD	1133.00 			
8749	USGSMW021	MW	17-Mar-10	Rain	110.00 	20.00 	BLD	360.00 	66250.46 		10620.89 	2613.09 	3060.00 			
8750	USGSHW021	HW	17-Mar-10	Rain	790.00 	34.00 	BLD	240.00 	119750.91 		41752.67 	BLD	3225.00 			
8751	USGSMC022	MC	17-Mar-10	Rain	130.00 	11.00 	BLD	518.00 	69048.38 		9257.84 	2496.25 	3773.00 			
8798	USGSLD022	LD	10-Apr-10	Rain	2670.00 	1070.00 	11293.99 		655920.28 	0.02 	48770.76 	7334.19 				
8799	USGSMW023	MW	10-Apr-10	Rain	830.00 	420.00 	BLD	435.00 	99790.96 		17224.14 	3137.66 	2153.00 			
8800	USGSMF020	MF	10-Apr-10	Rain	480.00 	440.00 	BLD	225.00 	155946.51 		10085.88 	BLD	900.00 			
8801	USGSMC024	MC	10-Apr-10	Rain	2250.00 	870.00 	9941.94 		760352.37 	0.01 	35657.01 	7826.05 				
8802	USGSHW023	HW	10-Apr-10	Rain	3400.00 	1730.00 	BLD	1005.00 	1527018.37 		48805.93 	3604.86 	4890.00 			
8803	USGSUW004	UW	10-Apr-10	Rain	1050.00 	600.00 	5070.98 		407825.80 	0.01 	23130.33 	6318.17 				
8853	USGSLD023	LD	28-Apr-10	Rain	3300.00 	2700.00 	5010.92 		2001618.28 	0.00 	151055.64 	3992.59 				
8854	USGSMC025	MC	28-Apr-10	Rain	890.00 	550.00 	7469.31 		714042.75 	0.01 	67878.29 	8522.25 				
8855	USGSMW024	MW	28-Apr-10	Rain	630.00 	480.00 	2161.32 	1643.00 	233063.79 	0.01 	24338.63 	BLD	2760.00 			
8856	USGSMF021	MF	28-Apr-10	Rain	410.00 	620.00 	BLD	705.00 	237131.72 		25763.99 	BLD	1298.00 			
8857	USGSUW005	UW	28-Apr-10	Rain	640.00 	470.00 	2196.69 	1703.00 	443416.79 	0.00 	44000.85 	BLD	1463.00 			
8889	USGSMC026	MC	10-May-10	Rain	490.00 	630.00 	10476.95 		1024041.01 	0.01 	150696.48 	17635.97 				
8946	USGSHW024	HW	14-May-10	Rain	2500.00 	1800.00 	5764.24 		1315096.13 	0.00 	131050.87 	4791.90 				
8947	USGSLD024	LD	14-May-10	Rain	1400.00 	1800.00 	24442.16 		1198839.84 	0.02 	71618.91 	14840.94 				
8948	USGSMW025	MW	14-May-10	Rain	640.00 	580.00 	12857.98 		613196.00 	0.02 	40386.17 	17743.85 				
8949	USGSMC027	MC	14-May-10	Rain	1900.00 	1500.00 	21948.00 		765336.49 	0.03 	39196.39 	14400.47 				
8950	USGSUW006	UW	14-May-10	Rain	960.00 	620.00 	7528.42 		793226.49 	0.01 	128744.00 	4044.55 				
